Name,Points
SOSA Iván Ramiro,433.0
RUIZ Ibon,429.0
COBO Iván,344.0
BERRADE Urko,315.0
BRUSTENGA Marc,195.0
WENZEL Mats,155.0
IRIBAR Unai,85.0
GIMENO Nil,72.0
ROMEO Sergio,50.0
URIARTE Diego,34.0
RETEGI Mikel,31.0
PÉREZ César,12.0
AZNAR Hugo,6.0
GUTIÉRREZ Jorge,6.0
MARTÍN José María,5.0
SOTO Antonio Jesús,3.0
AZANZA Ibai,1.0
ELOSEGUI Iñigo,0.0
HO Yen Yi,0.0
CARRASCOSA Pablo,0.0
GÓMEZ Iker,0.0
RAMOS Unai,0.0
