Name,Points
BERASATEGI Xabier,402.0
MARTÍN Gotzon,247.0
AGIRRE Jon,145.0
JUARISTI Txomin,127.0
VAN DER TUUK Axel,113.0
LÓPEZ Jordi,102.0
BIZKARRA Mikel,92.0
LASTRA Jonathan,90.0
MURGUIALDAY Jokin,79.0
SUTTON Louis,54.0
MINTEGI Iker,43.0
ALUSTIZA Nicolás,18.0
HENNEQUIN Paul,13.0
ISASA Xabier,6.0
UGARTE Gari,4.0
VAN DER TUUK Danny,2.0
AGUIRRE Yago,1.0
FERNÁNDEZ Samuel,1.0
AZNAR Unai,1.0
